text,emotion
Jealous feeling aa rahi hai 💔,jealous
Dusre ki success dekh kar bura lag raha 😞,jealous
Kisi aur ko dekh kar jealousy 😒,jealous
Envy ho rahi hai 👀,jealous
Purani yaad aayi 🎞️,nostalgic
Bachpan ki yaad aa gayi 🪀,nostalgic
Good old days 🕰️,nostalgic
Wapas jaana chahta hu zamane mein ⏪,nostalgic
Yaadein taaza ho gayi 📸,nostalgic
Umeed hai sab accha hoga 🌈,hopeful
Positive soch raha hu ☀️,hopeful
Future bright dikh raha hai ✨,hopeful
Better days coming 🕊️,hopeful
Expectations hai 🎯,hopeful
Feeling accomplished after hard work 🎯,proud
Meri mehnat rang layi 🌟,proud
Success ka taste mitha hai 🍯,proud
Dreams coming true ✨,proud
Hard work paid off 💪,proud
Missing my childhood days 🪁,nostalgic
Purane gaane sunkar emotional ho gaya 🎵,nostalgic
Woh zamana yaad aa gaya ⏳,nostalgic
School days ki yaad aayi 📚,nostalgic
Bachpan wali feeling aa gayi 🍭,nostalgic
Feeling hopeful for the future 🌅,hopeful
Aasha ki kiran dikh rahi hai 🌄,hopeful
Better tomorrow ki ummeed 🕊️,hopeful
Positive changes aayenge ☀️,hopeful
Naye opportunities milenge 🚪,hopeful
Disgusted by the smell 🤢,disgusted
Ganda taste aa raha hai 🤮,disgusted
Nausea ho raha hai 😵,disgusted
Repulsive behavior dekh kar 😠,disgusted
Ghin aati hai isse 💩,disgusted
Feeling blessed today 😇,blessed
God has been kind 🙏,blessed
Fortunate to have this life 🌟,blessed
Blessings all around 💫,blessed
Grateful for everything 🥹,blessed
Feeling dizzy after spinning 🥴,dizzy
Chakkar aa raha hai 😵,dizzy
Head spinning round and round 🌀,dizzy
Lost my balance 🤸,dizzy
Everything moving 😵‍💫,dizzy
Too hot today 🫠,hot
Garmi se pareshaan ☀️,hot
Paseena aa raha hai 💦,hot
AC chahiye abhi ❄️,hot
Bahar garmi hai 🔥,hot
Freezing cold 🥶,cold
Thand se kaamp raha hai ❄️,cold
Winter is coming ⛄,cold
Blanket mein lipat gaya 🛌,cold
Sardi lag jayegi 🧥,cold
Feeling mischievous today 😈,mischievous
Kuch shararat karne ka mann 😼,mischievous
Prank karna hai 🤪,mischievous
Troublemaker mode on 🔥,mischievous
Naughty thoughts 💭,mischievous
Playful mood today 👻,playful
Masti karne ka mann 🎭,playful
Khelna hai 🎮,playful
Fun times ahead 🎪,playful
Enjoying the moment 🎉,playful
Focused on my goals 🎯,focused
Concentrating hard 🤓,focused
No distractions please 🔕,focused
Deep in work mode 💻,focused
Laser focus activated ⚡,focused
Loving vibes today 🫶,loving
Spread love everywhere 💞,loving
Heart full of compassion ❤️,loving
Caring for others 🤗,loving
Kindness matters 🌸,loving
Friendly atmosphere 🤝,friendly
Making new friends 👫,friendly
Good company today 🎭,friendly
Social butterfly mode 🦋,friendly
Connecting with people 🌐,friendly
Excited and cheering 🙌,excited
Celebrating together 🎊,excited
Team spirit high 👏,excited
Group excitement 🤩,excited
Collective joy 🎉,excited
Feeling tired after workout 🏋️,sleepy
Exercise ke baad thakaan 🏃,sleepy
Body needs rest 🛌,sleepy
Muscles sore 💪,sleepy
Recovery time ⏳,sleepy
Hungry like a wolf 🐺,hungry
Stomach growling 🔊,hungry
Food please 🍽️,hungry
Need nutrition 🍎,hungry
Craving delicious food 🍕,hungry
Dehydrated feeling 💧,thirsty
Water needed 🚰,thirsty
Dry throat 🗣️,thirsty
Refreshment required 🧊,thirsty
Thirst quenching time 🥤,thirsty
Under the weather 🌧️,sick
Not feeling well 🤕,sick
Down with fever 🌡️,sick
Recovering slowly 💊,sick
Health improving 🌤️,sick
Nothing to do 😑,bored
Seeking entertainment 🎬,bored
Passing time ⏰,bored
Looking for fun 🎯,bored
Boredom strikes again 🥱,bored
Unexpected surprise! 🎁,surprised
Didn't see that coming 👀,surprised
Shocked expression 😲,surprised
Astonished by the news 📰,surprised
Wow moment! 🤩,surprised
Mind boggled 🤯,confused
Can't figure this out 🧩,confused
Puzzled by the situation ❓,confused
Need clarification ⁉️,confused
Confusion maximum 🌀,confused
Accomplishment feels great 🏅,proud
Goal achieved 🎯,proud
Mission accomplished ✅,proud
Target reached 🎯,proud
Objective completed 📋,proud
Green with envy 💚,jealous
Wish I had that 😔,jealous
Comparing myself 🔄,jealous
Want what they have 👀,jealous
Envious feelings 💔,jealous
Nostalgic memories 📻,nostalgic
Old songs bringing back memories 🎵,nostalgic
Remembering the past 📅,nostalgic
Flashback time ⏪,nostalgic
Memory lane walking 🚶,nostalgic
Optimistic about tomorrow 🌈,hopeful
Good things coming 🎁,hopeful
Bright future ahead ☀️,hopeful
Positive outlook 🌟,hopeful
Hope keeps me going 🚀,hopeful
Revolting situation 🤢,disgusted
Can't stand this 🤮,disgusted
Nauseating experience 🚽,disgusted
Repugnant behavior 😠,disgusted
Disgust overwhelming 💩,disgusted
Divine blessings 😇,blessed
Favored by fortune 🍀,blessed
Heavenly grace 👼,blessed
Blessed and grateful 🙏,blessed
Thankful for blessings 🌟,blessed
Vertigo effect 🥴,dizzy
Room spinning 🏠,dizzy
Lost equilibrium ⚖️,dizzy
Unsteady feeling 🚶,dizzy
Dizziness attack 😵,dizzy
Heat wave hitting 🫠,hot
Sweltering heat 🔥,hot
Melting in this weather ☀️,hot
Need cold drink 🧊,hot
Summer is brutal 🌞,hot
Chilly weather 🥶,cold
Winter blues ❄️,cold
Freezing temperatures 🌡️,cold
Shivering cold 🥶,cold
Cold snap arrived 🌨️,cold
Up to no good 😈,mischievous
Devilish plans 😼,mischievous
Trouble brewing ☕,mischievous
Mischief managed 🪄,mischievous
Naughty ideas 💡,mischievous
Fun and games 👻,playful
Playtime 🎮,playful
Joking around 😜,playful
Lighthearted mood 🎈,playful
Entertainment mode on 🎪,playful
Concentrated effort 🎯,focused
Undivided attention 👁️,focused
Zero distractions 🔇,focused
Deep work zone 🧠,focused
Focused mindset 💭,focused
Affectionate mood 🫶,loving
Love spreading ❤️,loving
Caring attitude 🤗,loving
Heartwarming feelings 💖,loving
Loving energy 🌸,loving
Friendship goals 🤝,friendly
Buddy system 👫,friendly
Companionship 💞,friendly
Social connections 🌐,friendly
Friendly vibes 🎭,friendly
Enthusiastic cheering 🙌,excited
Excited crowd 🤩,excited
Group celebration 🎊,excited
Shared excitement 👏,excited
Collective energy ⚡,excited
Exhausted from work 💼,sleepy
Need sleep badly 🛌,sleepy
Yawning repeatedly 😪,sleepy
Energy depleted ⚡,sleepy
Rest required 😴,sleepy
Famished feeling 🍽️,hungry
Hunger pangs 🔊,hungry
Empty stomach 🍽️,hungry
Time to eat 🕒,hungry
Food craving 🍔,hungry
Parched throat 🗣️,thirsty
Need hydration 💧,thirsty
Dry mouth 👄,thirsty
 thirst quencher 🥤,thirsty
Dehydration setting in 💦,thirsty
Feverish condition 🌡️,sick
Under medication 💊,sick
Sick day today 🤒,sick
Recuperating 🛌,sick
Health recovery 🌤️,sick
Monotonous routine 🔄,bored
Tedious tasks 📋,bored
Dull moment 🥱,bored
Seeking stimulation 🎮,bored
Boredom attack 😑,bored
Astonishing news! 📰,surprised
jaw-dropping moment 😲,surprised
Unexpected turn of events 🔄,surprised
Surprise element 🎁,surprised
Shocking revelation 💡,surprised
Bewildered state 🤯,confused
Perplexing situation ❓,confused
Confusing instructions 📋,confused
Need guidance 🗺️,confused
Puzzled mind 🧩,confused
Triumphant feeling 🏆,proud
Victory dance 💃,proud
Achievement unlocked 🔓,proud
Proud moment 📸,proud
Success celebration 🎉,proud
Coveting what others have 👀,jealous
Jealousy creeping in 💔,jealous
Green-eyed monster 👹,jealous
Envious thoughts 💭,jealous
Comparisonitis 🔄,jealous
Sentimental journey 🚂,nostalgic
Nostalgic trip ⏪,nostalgic
Memory flashback 📸,nostalgic
Yearning for past 🕰️,nostalgic
Reminiscing old times 📻,nostalgic
Hopeful anticipation 🌅,hopeful
Waiting for good news 📨,hopeful
Optimistic vision 🔮,hopeful
Hope springs eternal 🌊,hopeful
Positive expectation 🌈,hopeful
Disgusting sight 🤢,disgusted
Revolting smell 👃,disgusted
Nauseating view 👀,disgusted
Repulsive encounter 😠,disgusted
Disgust overwhelmed 🤮,disgusted
Heaven sent 😇,blessed
Divine intervention 👼,blessed
Blessed beyond measure 📏,blessed
Favored by destiny 🍀,blessed
Grace received 🙏,blessed
Dizzy spell 🥴,dizzy
World spinning 🌍,dizzy
Vertigo attack 😵,dizzy
Loss of balance ⚖️,dizzy
Unsteady ground 🏞️,dizzy
Scorching heat 🫠,hot
Blazing sun ☀️,hot
Heat exhaustion 🔥,hot
Sweltering conditions 🌡️,hot
Melting point reached 🫠,hot
Bitter cold 🥶,cold
Frigid temperatures ❄️,cold
Numbing cold 🌨️,cold
Winter chill ⛄,cold
Freezing conditions 🧊,cold
Mischievous grin 😈,mischievous
Up to mischief 😼,mischievous
Troublemaker alert 🚨,mischievous
Naughty behavior 😜,mischievous
Devilish smile 😏,mischievous
Playful banter 👻,playful
Fun and frolic 🎪,playful
Jovial mood 😜,playful
Entertaining times 🎭,playful
Playful interaction 🎮,playful
Focused attention 🎯,focused
Concentration mode 🧠,focused
Deep focus 🔍,focused
Mindful work 💻,focused
Attentive state 👁️,focused
Loving kindness 🫶,loving
Affectionate embrace 🤗,loving
Heartfelt love ❤️,loving
Caring touch ✋,loving
Loving presence 🌸,loving
Friendly gathering 🤝,friendly
Social event 👫,friendly
Companionable atmosphere 💞,friendly
Friendship circle 🔵,friendly
Friendly meeting 🤝,friendly
Excited anticipation 🙌,excited
Thrilled expectation 🤩,excited
Eager waiting ⏳,excited
Excited preparation 🎊,excited
Enthusiastic planning 📋,excited
Weary from journey 🚗,sleepy
Travel fatigue ✈️,sleepy
Jet lagged 🕐,sleepy
Need nap 😴,sleepy
Sleep deprivation 🛌,sleepy
Ravenous hunger 🐺,hungry
Starving feeling 🍽️,hungry
Food desperation 🍔,hungry
Hunger emergency 🚨,hungry
Famished state 🔊,hungry
Dehydrated condition 💧,thirsty
Extreme thirst 🥤,thirsty
Water crisis 🚰,thirsty
 thirst emergency 🚨,thirsty
Parched state 🗣️,thirsty
Bedridden sick 🛌,sick
Ill health 🤒,sick
Sickness taking toll 💊,sick
Recovery period 🌤️,sick
Health struggle 🏥,sick
Mind-numbing boredom 😑,bored
Soul-crushing monotony 🔄,bored
Extreme tedium 📋,bored
Boredom extreme 🥱,bored
Unbearable dullness 😴,bored
Flabbergasted! 😲,surprised
Astonished beyond words 🗣️,surprised
Utterly shocked 💡,surprised
Complete surprise 🎁,surprised
Dumbfounded expression 😳,surprised
Totally confused 🤯,confused
Complete bewilderment ❓,confused
Utter perplexity 🧩,confused
Total confusion 🌀,confused
Absolute puzzlement ⁉️,confused
Immensely proud 🏆,proud
Extremely proud 📸,proud
Pride overflowing 💃,proud
Supreme achievement 🏅,proud
Ultimate success ✅,proud
Consumed by jealousy 💚,jealous
Overwhelming envy 👀,jealous
Jealousy overpowering 💔,jealous
Green with envy 👹,jealous
Covetous feelings 🔄,jealous
Overcome with nostalgia 🚂,nostalgic
Nostalgia wave 🌊,nostalgic
Sentimental overload 📻,nostalgic
Memory flood ⏪,nostalgic
Yearning intensely 🕰️,nostalgic
Boundless hope 🌅,hopeful
Infinite optimism 🌈,hopeful
Endless hope 🌊,hopeful
Hope unlimited 🔮,hopeful
Optimism supreme ☀️,hopeful
Utterly disgusted 🤢,disgusted
Complete revulsion 🤮,disgusted
Total disgust 💩,disgusted
Absolutely repulsed 😠,disgusted
Disgust maximum 👃,disgusted
Divinely blessed 😇,blessed
Heavenly favored 👼,blessed
Blessings abundant 🙏,blessed
Grace overflowing 🌟,blessed
Favor unlimited 🍀,blessed
Extremely dizzy 🥴,dizzy
Severe vertigo 😵,dizzy
Spinning uncontrollably 🌍,dizzy
Balance completely lost ⚖️,dizzy
Dizziness extreme 🌀,dizzy
Blistering heat 🫠,hot
Scorching temperatures 🔥,hot
Heat unbearable ☀️,hot
Melting completely 🫠,hot
Inferno conditions 🌡️,hot
Arctic cold 🥶,cold
Freezing absolutely ❄️,cold
Cold to the bone 🌨️,cold
Subzero temperatures 🧊,cold
Polar conditions ⛄,cold
Extremely mischievous 😈,mischievous
Devilishly naughty 😼,mischievous
Trouble maximized 🚨,mischievous
Naughtiness extreme 😜,mischievous
Mischief supreme 🪄,mischievous
Exceptionally playful 👻,playful
Ultra fun mood 🎪,playful
Playfulness overload 🎮,playful
Extreme entertainment 🎭,playful
Joviality maximum 😜,playful
Hyper-focused 🎯,focused
Laser concentration ⚡,focused
Absolute focus 🔍,focused
Total concentration 🧠,focused
Focus maximized 💻,focused
Profoundly loving 🫶,loving
Deeply affectionate ❤️,loving
Love intense 🤗,loving
Heart full to bursting 💖,loving
Loving completely 🌸,loving
Extremely friendly 🤝,friendly
Super social 👫,friendly
Friendship extreme 💞,friendly
Ultra companionable 🌐,friendly
Friendly maximum 🎭,friendly
Wildly excited 🙌,excited
Extreme excitement 🤩,excited
Excitement overload 🎊,excited
Thrilled beyond measure 📋,excited
happy,happy
love,love
lovely,love
i feel not well,sick
i feel alone,sad
lonely,sad
i feel lonely,sad
I am thrilled to hear the news,excited
I am anxious,anxious
Feel confused,confused
I am content with how things are going,neutral
I am irritated,anxious
I am fuming over this unfair decision,angry
My heart is soaring with joy today!,happy
I’m buzzing with excitement for the event!,excited
This confusion is driving me up the wall.,angry
I feel so serene sitting by the lake.,calm
I’m gutted about missing the opportunity.,sad
I’m so proud my hard work paid off!,proud
Fear is creeping in about the unknown.,jealous
I’m annoyed at this constant interruption.,angry
I feel an overwhelming sense of joy today,Happy
My heart is consumed by sorrow and grief, Sad
I’m overwhelmed with anger and rage,Angry
I’m buzzing with excitement for what’s coming,Excited
I’m gripped by anxiety about tomorrow,Anxious
I feel a deep sense of calm and peace,Calm
I’m feeling disappointed over the outcome,Disappointed
I’m radiating pride for my success,Proud
I’m consumed by frustration with this issue,Frustrated
I’m overflowing with gratitude for the support,Grateful
I’m overwhelmed by fear of the situation,Scared
I’m filled with hope for the future,Hopeful
I feel lonely and isolated tonight,Lonely
I’m lost and confused by this problem,Confused
I’m content with my life today,Content
I’m annoyed by this situation,Annoyed
I’m surprised by the unexpected news,Surprised
I’m embarrassed after the mistake,Embarrassed
I’m inspired by the vision,Inspired
I’m feeling guilty for my actions,Guilty
sad,sad
i am in love ,love
mazza nai aa raha yarr,dizzy
arijit singh,sad
Tere bina,love
me bhot khush hu,confused
